City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Samaná,19.21,-69.34,79.39,88,100,9.64,DO
Pangnirtung,66.15,-65.71,53.4,75,95,1.72,CA
The Valley,18.22,-63.06,79.93,88,75,13.87,AI
Acaraú,-2.89,-40.12,77.11,81,31,14.52,BR
Goundam,16.41,-3.67,89.6,38,6,19.84,ML
Yerbogachën,61.28,108.01,66.24,64,100,9.62,RU
Kuching,1.55,110.33,80.31,78,20,5.82,MY
Maiquetia,10.6,-66.95,73.0,72,79,3.36,VE
Avera,33.19,-82.53,80.38,78,1,4.7,US
Tegul'det,57.31,88.17,63.54,64,100,3.83,RU
Gusau,12.16,6.66,73.13,87,0,9.98,NG
Pitimbu,-7.47,-34.81,73.4,94,20,5.82,BR
Borogontsy,62.67,131.17,75.47,37,8,5.61,RU
Evensk,61.95,159.23,65.23,46,68,18.16,RU
Caridad,10.83,124.75,79.92,80,100,1.99,PH
Monrovia,6.3,-10.8,75.2,94,75,11.3,LR
Alamosa,37.47,-105.87,75.2,23,1,12.75,US
Bull Savanna,17.89,-77.59,78.73,86,75,7.16,JM
Omsukchan,62.53,155.8,57.92,53,76,13.69,RU
Elizabeth City,36.29,-76.25,79.72,88,75,11.41,US
Port Hardy,50.7,-127.42,73.4,49,75,13.87,CA
Vikulovo,56.82,70.61,64.98,93,95,7.58,RU
Tuatapere,-46.13,167.68,52.9,87,91,2.95,NZ
Henties Bay,-22.12,14.28,64.99,56,0,15.84,NA
Hudson Bay,52.85,-102.38,66.99,65,58,3.2,CA
Romitan,39.93,64.38,68.0,56,0,2.24,UZ
Skagen,57.72,10.58,63.0,79,95,5.99,DK
Pombia,45.65,8.63,75.06,83,0,2.24,IT
Makakilo City,21.35,-158.09,85.06,45,75,10.29,US
Bahía Blanca,-38.72,-62.27,49.44,55,63,7.07,AR
Ballitoville,-29.54,31.21,48.2,87,0,3.36,ZA
Arrondissement de Saint-Dizier,48.42,5.08,76.28,50,92,4.7,FR
Tonekābon,36.82,50.87,75.2,78,75,2.24,IR
Sete Lagoas,-19.47,-44.25,64.4,72,3,12.75,BR
Jalor,25.35,72.62,87.1,65,57,7.05,IN
Manggar,-2.88,108.27,82.29,71,33,11.16,ID
San Cristobal,7.77,-72.22,86.0,51,40,20.8,VE
Asău,46.43,26.4,55.0,97,17,3.13,RO
Beringovskiy,63.05,179.32,51.22,74,97,6.58,RU
Marsh Harbour,26.54,-77.06,84.45,71,100,19.91,BS
Atasū,48.68,71.64,73.15,40,0,4.43,KZ
Waingapu,-9.66,120.26,80.38,50,6,12.17,ID
Narsaq,60.92,-46.05,46.4,75,5,2.24,GL
Krasnosel'kup,65.7,82.47,61.43,67,75,15.05,RU
Rockland,41.17,-74.05,70.56,85,0,1.05,US
Thabazimbi,-24.59,27.41,39.99,71,0,2.13,ZA
Yinchuan,38.47,106.27,88.77,25,80,0.92,CN
Moranbah,-22.0,148.05,69.85,48,0,20.6,AU
St Albans,51.75,-0.33,67.12,77,75,12.75,GB
Sitia,35.2,26.1,84.99,31,0,5.01,GR
Kamenka,51.32,42.77,58.1,92,100,10.87,RU
Sørland,67.67,12.69,55.31,91,100,5.84,NO
Panama City,8.99,-79.52,81.09,78,100,4.7,PA
Lianzhou,24.78,112.38,79.92,83,100,1.83,CN
Chu,43.6,73.76,71.01,65,100,4.29,KZ
Trelew,-43.25,-65.31,51.49,49,61,21.0,AR
Rodopoli,41.26,23.0,77.0,77,98,5.28,GR
Hirara,24.8,125.28,88.54,74,20,11.41,JP
Tigre,-34.43,-58.58,48.63,93,74,3.36,AR
Malinovoye Ozero,51.68,79.78,68.0,68,0,5.39,RU
Murillo,4.87,-75.17,46.98,96,58,2.77,CO
Yar-Sale,66.83,70.83,60.12,58,96,7.74,RU
Batagay-Alyta,67.8,130.41,65.57,37,1,5.06,RU
Northam,51.03,-4.22,61.65,94,3,5.01,GB
Boshnyakovo,49.63,142.17,57.79,91,100,4.97,RU
Kyra,49.58,111.98,70.56,65,55,4.68,RU
Finsterwalde,51.63,13.72,55.98,76,20,5.1,DE
Brae,60.4,-1.35,57.2,93,40,16.11,GB
Muros,42.78,-9.06,66.0,83,40,7.0,ES
Okato,-39.2,173.88,52.5,65,100,8.01,NZ
Vila,42.03,-8.16,64.13,93,90,4.7,PT
Acapulco de Juárez,16.86,-99.89,86.0,70,75,4.7,MX
Banamba,13.55,-7.45,78.66,77,100,3.58,ML
Sola,-13.88,167.55,77.77,88,59,12.71,VU
Kodra,50.59,29.56,56.75,82,0,6.71,UA
Osypenko,46.91,36.83,66.99,100,100,10.0,UA
San Jose,37.34,-121.89,74.08,47,1,14.99,US
Carutapera,-1.2,-46.02,76.28,91,78,5.97,BR
Mt. Pleasant,32.79,-79.86,84.87,74,1,8.05,US
São João da Barra,-21.64,-41.05,68.52,74,92,9.78,BR
Babino,56.23,43.62,54.25,100,73,2.91,RU
Soria,41.67,-2.67,64.0,67,0,0.47,ES
